LIGA,#,FECHA,HASTA,COMPETENCIA,PRUEBA,CIUDAD,CATEGORIA
LEVANTAMIENTO DE PESAS,38,10/13/2022 12:00:00 AM,10/16/2022 12:00:00 AM,NACIONAL SUB 13 Y SUB 15,SUB 13 Y SUB 15,POR DEFINIR,LEVANTAMIENTO DE PESAS
LEVANTAMIENTO DE PESAS,39,11/16/2022 12:00:00 AM,11/20/2022 12:00:00 AM,NACIONAL DE MAYORES Y 2DO CLASIFICATORIO  A JUEGOS DEPORTIVOS NACIONALES,MAYORES,CALI,LEVANTAMIENTO DE PESAS
LEVANTAMIENTO DE PESAS,40,11/17/2022 12:00:00 AM,11/21/2022 12:00:00 AM,CAMPEONATO NACIONAL DE BILLAR A TRES BANDAS INDIVIDUAL SUB 20,SUB 20,CALI,BILLAR TRES BANDAS
LEVANTAMIENTO DE PESAS,41,11/18/2022 12:00:00 AM,11/22/2022 12:00:00 AM,CAMPEONATO NACIONAL DE BILLAR A TRES BANDAS INDIVIDUAL FEMENINO,FEMENINO,CALI,BILLAR TRES BANDAS
LEVANTAMIENTO DE PESAS,42,11/19/2022 12:00:00 AM,11/23/2022 12:00:00 AM,CAMPEONATO NACIONAL DE BILLAR A TRES BANDAS INDIVIDUAL MASCULINO,MAYORES,CALI,BILLAR TRES BANDAS
LEVANTAMIENTO DE PESAS,43,11/20/2022 12:00:00 AM,11/24/2022 12:00:00 AM,CAMPEONATO NACIONAL DE BILLAR POOL INDIVIDUAL MASCULINO,MAYORES,SEDE POR DEFINIR,POL BOLA 8/9/10
LEVANTAMIENTO DE PESAS,44,11/21/2022 12:00:00 AM,11/25/2022 12:00:00 AM,CAMPEONATO NACIONAL DE BILLAR POOL INDIVIDUAL FEMENINO,FEMENINO,SEDE POR DEFINIR,POL BOLA 8/9/10
LEVANTAMIENTO DE PESAS,45,11/22/2022 12:00:00 AM,11/26/2022 12:00:00 AM,CAMPEONATO NACIONAL DE BILLAR POOL POR EQUIPOS,MAYORES,SEDE POR DEFINIR,POL BOLA 8/9/10
LEVANTAMIENTO DE PESAS,46,11/23/2022 12:00:00 AM,11/27/2022 12:00:00 AM,GRAN PRIX PANAMERICANO,MAYORES,CUNDINAMARCA,TRES BANDAS
KARATE DO,47,11/24/2022 12:00:00 AM,11/28/2022 12:00:00 AM,NACIONAL INTERLIGAS 1,TODAS,PENDIENTE,KATA Y KUMITE
